x,y,z
-7.231046259403228760e-02,-5.852425098419189453e-02,5.081006288528442383e-01
6.832593679428100586e-02,-6.262823939323425293e-02,4.471357464790344238e-01
9.383444488048553467e-02,-6.337503343820571899e-02,4.089723229408264160e-01
4.219974949955940247e-02,-6.187274679541587830e-02,4.702693223953247070e-01
-5.957946926355361938e-02,-5.890668183565139771e-02,5.066960453987121582e-01
-1.680036038160324097e-01,-5.574393644928932190e-02,4.758104383945465088e-01
-2.371686398983001709e-01,-5.372312664985656738e-02,3.859893381595611572e-01
-2.390342354774475098e-01,-5.366474390029907227e-02,2.726683616638183594e-01
-2.390342354774475098e-01,-5.366474390029907227e-02,2.726683616638183594e-01
-3.317523002624511719e-01,-5.097928270697593689e-02,2.798965871334075928e-01
-2.837214171886444092e-01,-5.238233879208564758e-02,3.911634087562561035e-01
-1.583749055862426758e-01,-5.602853372693061829e-02,4.297558665275573730e-01
-9.682592004537582397e-02,-5.782137438654899597e-02,4.133561551570892334e-01
-1.708334684371948242e-01,-5.566796287894248962e-02,4.290688037872314453e-01
-2.733146846294403076e-01,-5.268578976392745972e-02,3.971449732780456543e-01
-3.414503633975982666e-01,-5.070535093545913696e-02,3.076318502426147461e-01
-3.430770635604858398e-01,-5.066073313355445862e-02,1.944646388292312622e-01
-2.768590152263641357e-01,-5.258910357952117920e-02,1.026640236377716064e-01
-2.768590152263641357e-01,-5.258910357952117920e-02,1.026640236377716064e-01
-3.555976152420043945e-01,-5.030372366309165955e-02,5.315900593996047974e-02
-3.834791779518127441e-01,-4.949478432536125183e-02,1.711166352033615112e-01
-2.844037711620330811e-01,-5.237095803022384644e-02,2.882819175720214844e-01
-2.413275837898254395e-01,-5.362135544419288635e-02,3.014804422855377197e-01
-3.149387240409851074e-01,-5.147983506321907043e-02,2.692770361900329590e-01
-3.787021934986114502e-01,-4.962855577468872070e-02,1.820481866598129272e-01
-3.799155652523040771e-01,-4.959927126765251160e-02,6.957380473613739014e-02
-3.228086233139038086e-01,-5.150612071156501770e-02,-7.518736645579338074e-03
-2.626163065433502197e-01,-5.466580018401145935e-02,-5.754534620791673660e-03
-2.626163065433502197e-01,-5.466580018401145935e-02,-5.754534620791673660e-03
-3.290055394172668457e-01,-5.389678105711936951e-02,-1.781798340380191803e-02
-3.540084362030029297e-01,-5.363717675209045410e-02,-1.345278578810393810e-03
-3.571438491344451904e-01,-5.389306694269180298e-02,3.058933187276124954e-03
-3.699283003807067871e-01,-5.313884466886520386e-02,2.456551603972911835e-02
-3.698651492595672607e-01,-5.110960453748703003e-02,2.440008334815502167e-02
-3.698103427886962891e-01,-5.004633590579032898e-02,2.434044517576694489e-02
-3.683652281761169434e-01,-5.051016807556152344e-02,2.146275900304317474e-02
-3.260121643543243408e-01,-5.149788409471511841e-02,-2.386046573519706726e-03
-2.587589919567108154e-01,-5.389186367392539978e-02,2.867375966161489487e-03
-2.587589919567108154e-01,-5.389186367392539978e-02,2.867375966161489487e-03
-3.369909226894378662e-01,-4.648319631814956665e-02,-1.131119206547737122e-02
-3.541517853736877441e-01,-4.074237868189811707e-02,-1.236573589267209172e-04
-3.543215692043304443e-01,-3.982454538345336914e-02,4.424077633302658796e-04
-3.542992770671844482e-01,-3.994788601994514465e-02,3.896551788784563541e-04
-3.542737364768981934e-01,-4.010353609919548035e-02,3.393084043636918068e-04
-3.542401194572448730e-01,-4.031528532505035400e-02,2.900038671214133501e-04
-3.542151749134063721e-01,-4.045671969652175903e-02,2.272252022521570325e-04
-3.262777030467987061e-01,-4.947505518794059753e-02,-7.211364572867751122e-05
-2.586037516593933105e-01,-5.369549989700317383e-02,2.787562087178230286e-03
-2.586037516593933105e-01,-5.369549989700317383e-02,2.787562087178230286e-03
-2.172858417034149170e-01,-1.747372299432754517e-01,3.718900978565216064e-01
1.956924498081207275e-01,5.869556590914726257e-02,4.608381688594818115e-01
2.864258885383605957e-01,1.257821619510650635e-01,2.821442484855651855e-02
2.293788194656372070e-01,8.787611871957778931e-02,-4.625124111771583557e-02
2.767003476619720459e-01,1.217955946922302246e-01,-4.615332558751106262e-02
3.187118470668792725e-01,1.495726555585861206e-01,-3.139331936836242676e-02
3.277157247066497803e-01,1.546391099691390991e-01,-1.544966216897591949e-04
3.175068199634552002e-01,1.473030447959899902e-01,1.018363386392593384e-01
2.565442323684692383e-01,1.047091707587242126e-01,1.849483996629714966e-01
